NM,threads,av_time,speedup,effect
40000000,1,277.67677,1.00000,1.00
40000000,2,148.57895,1.86888,0.93
40000000,4,81.47191,3.40825,0.85
40000000,7,51.55814,5.38570,0.77
40000000,8,47.08602,5.89722,0.74
40000000,16,28.73469,9.66347,0.60
40000000,20,25.23404,11.00406,0.55
40000000,25,21.93617,12.65840,0.51
40000000,30,19.97802,13.89911,0.46
40000000,35,17.55914,15.81380,0.45
40000000,40,16.71000,16.61740,0.42
40000000,45,15.03125,18.47330,0.41

Best num threads for 40000000: 25

80000000,1,539.64000,1.00000,1.00
80000000,2,278.64198,1.93668,0.97
80000000,4,152.15217,3.54671,0.89
80000000,7,92.28395,5.84760,0.84
80000000,8,83.14894,6.49004,0.81
80000000,16,47.17895,11.43815,0.71
80000000,20,40.40404,13.35609,0.67
80000000,25,35.29897,15.28770,0.61
80000000,30,31.25000,17.26848,0.58
80000000,35,29.07368,18.56112,0.53
80000000,40,29.42697,18.33828,0.46
80000000,45,27.31522,19.75602,0.44

Best num threads for 80000000: 35

